payment_id,customer_id,staff_id,rental_id,amount,payment_date
31790,256,1,4130,0.99,2007-04-07 06:20:20 UTC
25038,256,1,13651,0.99,2007-03-20 06:18:35 UTC
31794,256,1,7661,3.99,2007-04-28 00:38:54 UTC
31793,256,1,6298,0.99,2007-04-11 16:11:00 UTC
25045,256,1,15864,7.99,2007-03-23 14:46:39 UTC
25039,256,1,14003,6.99,2007-03-20 18:44:33 UTC
19466,256,1,2380,6.99,2007-02-18 13:28:31 UTC
31792,256,1,5179,2.99,2007-04-09 08:29:11 UTC
19462,256,1,1555,2.99,2007-02-16 00:45:34 UTC
19468,256,1,2839,4.99,2007-02-19 20:35:51 UTC
25037,256,2,13457,0.99,2007-03-19 23:01:49 UTC
19464,256,2,1973,4.99,2007-02-17 07:54:42 UTC
25041,256,2,14445,2.99,2007-03-21 10:36:09 UTC
25036,256,2,11628,8.99,2007-03-17 02:55:45 UTC
25040,256,2,14036,4.99,2007-03-20 20:03:54 UTC
31791,256,2,4182,0.99,2007-04-07 08:56:27 UTC
19465,256,2,2230,4.99,2007-02-18 02:19:16 UTC
25043,256,2,15609,2.99,2007-03-23 05:24:31 UTC
19467,256,2,2561,4.99,2007-02-19 01:43:19 UTC
25035,256,2,11011,2.99,2007-03-02 03:35:34 UTC
25034,256,2,10759,4.99,2007-03-01 18:51:18 UTC
25044,256,2,15861,4.99,2007-03-23 14:44:12 UTC
31795,256,2,9424,2.99,2007-04-30 19:39:23 UTC
19463,256,2,1965,0.99,2007-02-17 07:46:06 UTC
25042,256,2,14458,3.99,2007-03-21 11:16:20 UTC
27927,512,1,5064,6.99,2007-04-09 03:07:18 UTC
27926,512,1,4799,0.99,2007-04-08 15:17:54 UTC
21840,512,1,15317,3.99,2007-03-22 18:42:40 UTC
21836,512,1,14288,4.99,2007-03-21 05:26:01 UTC
21837,512,1,14870,2.99,2007-03-22 01:51:47 UTC
27931,512,1,7715,6.99,2007-04-28 03:01:05 UTC
31981,512,1,12786,0.99,2007-05-14 13:44:30 UTC
27929,512,1,7219,2.99,2007-04-27 08:04:03 UTC
21838,512,1,15153,2.99,2007-03-22 12:54:28 UTC
18155,512,1,1176,6.99,2007-02-14 22:57:04 UTC
27930,512,1,7507,0.99,2007-04-27 19:00:15 UTC
18157,512,1,2364,2.99,2007-02-18 12:05:59 UTC
27925,512,1,4752,5.99,2007-04-08 12:43:47 UTC
27933,512,1,9055,2.99,2007-04-30 05:41:34 UTC
27932,512,2,8868,4.99,2007-04-29 22:30:53 UTC
21831,512,2,10670,3.99,2007-03-01 15:35:43 UTC
18156,512,2,2029,4.99,2007-02-17 11:39:26 UTC
27928,512,2,5813,3.99,2007-04-10 14:03:04 UTC
21833,512,2,12957,8.99,2007-03-19 04:41:11 UTC
21841,512,2,15733,4.99,2007-03-23 10:05:59 UTC
21830,512,2,10232,4.99,2007-03-01 00:19:22 UTC
21842,512,2,15990,4.99,2007-03-23 18:53:38 UTC
21834,512,2,13156,4.99,2007-03-19 11:39:09 UTC
21839,512,2,15265,3.99,2007-03-22 17:04:26 UTC
21835,512,2,13771,0.99,2007-03-20 10:15:48 UTC
21832,512,2,11818,9.99,2007-03-17 10:50:31 UTC
29001,1,1,8074,0.99,2007-04-28 16:02:06 UTC
22687,1,1,14762,0.99,2007-03-21 22:02:24 UTC
18501,1,1,3284,3.99,2007-02-21 04:53:12 UTC
28997,1,1,6163,7.99,2007-04-11 08:42:13 UTC
22684,1,1,12250,0.99,2007-03-18 02:25:56 UTC
28996,1,1,5326,4.99,2007-04-09 15:06:28 UTC
18499,1,1,2308,4.99,2007-02-18 07:10:15 UTC
22690,1,1,15315,5.99,2007-03-22 18:32:13 UTC
28995,1,1,5244,4.99,2007-04-09 11:52:34 UTC
22688,1,1,14825,1.99,2007-03-21 23:56:24 UTC
28999,1,1,7841,4.99,2007-04-28 07:33:12 UTC
22682,1,1,11367,0.99,2007-03-02 16:30:05 UTC
18498,1,1,1725,4.99,2007-02-16 13:47:24 UTC
18495,1,1,1185,5.99,2007-02-14 23:22:39 UTC
28994,1,1,4611,5.99,2007-04-08 06:02:23 UTC
22689,1,2,15298,2.99,2007-03-22 18:10:04 UTC
29004,1,2,9571,2.99,2007-04-30 01:10:45 UTC
22685,1,2,13068,0.99,2007-03-19 08:23:43 UTC
22680,1,2,10437,4.99,2007-03-01 07:19:31 UTC
29000,1,2,8033,4.99,2007-04-28 14:46:50 UTC
18497,1,2,1476,9.99,2007-02-15 19:37:13 UTC
29002,1,2,8116,0.99,2007-04-28 17:48:34 UTC
18496,1,2,1422,0.99,2007-02-15 16:31:20 UTC
29003,1,2,8326,2.99,2007-04-29 02:27:16 UTC
18500,1,2,2363,0.99,2007-02-18 12:02:26 UTC
22686,1,2,13176,2.99,2007-03-19 12:25:21 UTC
22683,1,2,11824,4.99,2007-03-17 11:06:21 UTC
28993,1,2,4526,5.99,2007-04-08 01:45:32 UTC
28998,1,2,7273,2.99,2007-04-27 09:59:49 UTC
22681,1,2,11299,3.99,2007-03-02 14:05:19 UTC
31800,257,1,6422,5.99,2007-04-11 22:14:46 UTC
31812,257,1,9800,4.99,2007-04-30 09:29:25 UTC
31799,257,1,5858,4.99,2007-04-10 16:28:34 UTC
19469,257,1,2557,0.99,2007-02-19 01:37:18 UTC
25047,257,1,11394,0.99,2007-03-02 17:13:12 UTC
31810,257,1,8640,4.99,2007-04-29 13:02:44 UTC
25058,257,1,15967,2.99,2007-03-23 18:18:33 UTC
